nBids,PowerSeller,VerifyID,Sealed,Minblem,MajBlem,LargNeg,LogBook,MinBidShare,Sold
2,1,0,0,0,0,0,-1.0254,0.9239,True
0,1,0,0,0,0,0,-0.4608,0.6105,False
2,1,0,0,0,0,0,-0.7231,0.7061,True
0,1,0,0,0,0,0,-0.8141,0.7331,False
0,1,0,0,0,0,0,-0.3033,0.4374,False
1,1,0,0,0,0,0,-0.2779,0.4119,True
1,1,0,0,0,0,0,-1.0254,1.0416,True
5,1,0,0,0,0,0,-0.052000000000000005,-0.1332,True
2,0,0,0,1,0,0,-0.052000000000000005,0.0663,True
3,0,0,1,0,0,0,-0.3621,0.3005,True
2,0,0,0,0,0,0,-0.396,0.0179,True
0,0,0,0,0,0,0,-0.3621,0.5072,False
1,0,0,0,0,0,0,-0.3033,0.4452,True
0,0,0,0,0,0,0,-0.3621,0.5072,False
0,0,0,0,0,0,0,-0.3621,0.5072,False
0,0,0,0,0,0,0,-0.052000000000000005,0.2179,False
2,0,0,0,0,0,0,0.2189,0.0291,True
3,0,0,1,0,0,0,-0.3621,0.3005,True
1,0,0,1,0,0,0,-0.3621,0.3005,True
5,0,0,0,0,0,0,-0.2477,-0.2566,True
1,0,0,0,0,0,0,-0.9142,0.6318,True
0,0,0,0,0,0,0,-0.9142,0.5265,False
0,1,0,0,0,0,0,-0.9142,0.5781,False
4,0,0,1,0,0,0,-0.3621,-0.3056,True
2,1,0,0,0,0,0,-0.4574,0.221,True
1,1,0,0,0,0,0,-0.9142,0.6834,True
3,1,0,0,0,0,0,-0.9142,0.5781,True
6,1,0,0,0,0,0,0.8863,-0.5431,True
4,1,0,0,0,0,0,0.7455,-0.4187,True
3,1,0,0,0,0,0,0.1117,-0.2781,True
5,1,0,0,0,0,0,0.5108,-0.3767,True
8,1,0,0,1,0,0,1.4347,-0.4979,True
6,0,0,0,0,0,0,-0.4608,-0.1837,True
7,0,0,0,0,1,0,0.3755,-0.1754,True
2,0,0,0,0,0,0,0.5108,0.1765,True
4,1,1,1,0,0,0,-0.3033,-0.23600000000000002,True
5,0,0,0,0,0,0,0.1844,-0.4205,True
11,0,0,1,0,0,0,0.2189,-0.3577,True
1,1,0,0,0,0,1,0.0332,0.3733,True
1,1,0,0,0,0,1,-0.2477,0.0277,True
2,0,1,0,1,0,0,0.0534,0.0023,True
2,1,0,0,0,0,1,-0.4608,0.3521,True
8,0,0,1,0,0,0,0.2189,-0.3577,True
3,1,0,0,1,0,0,-1.0254,0.127,True
2,1,0,0,0,0,0,-1.1506,0.7543,True
5,1,0,0,0,0,0,-0.4574,-0.2117,True
0,1,0,0,0,0,1,0.5108,0.3869,False
4,1,0,0,0,0,0,-0.3033,-0.264,True
1,1,0,0,0,0,1,-0.9142,0.4802,True
6,1,0,0,0,0,0,-0.2237,-0.28800000000000003,True
2,1,0,0,1,0,0,-0.9142,0.4739,True
0,1,0,0,0,0,1,-1.0254,0.4988,False
0,1,0,0,0,0,0,-1.0254,0.5976,False
1,1,0,0,0,0,0,-0.9142,0.4739,True
6,1,0,1,0,0,0,-0.3621,-0.2892,True
4,1,0,0,0,0,0,0.584,-0.2485,True
3,0,0,0,0,0,0,1.4347,-0.5125,True
5,1,0,0,0,0,0,0.5108,-0.2235,True
6,0,0,0,0,0,0,0.6073,-0.4285,True
3,0,0,0,0,0,0,-0.3621,-0.2759,True
5,0,0,0,0,0,0,1.0758,-0.3187,True
2,0,0,0,0,1,0,-0.0767,0.0806,True
3,1,0,0,0,0,0,0.2189,-0.5102,True
4,0,0,0,0,0,0,-0.1723,-0.3777,True
6,0,0,0,0,0,0,-0.1723,-0.3777,True
4,0,0,0,0,0,1,0.0332,-0.2638,True
