"","BookVal","MinorBlem","MajorBlem","PowerSeller","IDSeller","Sealed","NegFeedback","ReservePriceFrac","NBidders","FinalPrice"
"142",43.5,0,0,0,0,0,1,0.176781609195402,5,31.7
"143",39.5,0,0,0,0,0,0,0.126329113924051,7,30.59
"144",18.95,0,0,1,0,0,0,0.316094986807388,6,20
"145",22.5,0,0,1,0,0,0,0.212603141361257,4,10.3235706806283
"146",8.5,0,0,0,0,0,0,0.821176470588235,3,13.69
"147",39.5,0,0,0,0,0,0,0.373164556962025,6,31
"148",35.5,0,0,0,0,0,0,1.16619718309859,0,NA
"149",13.5,0,0,1,0,0,0,0.406666666666667,4,11.31
"150",7.95,0,0,1,0,0,0,1.25660377358491,1,9.99000000000004
"151",11.5,0,0,1,0,0,0,0.868695652173913,2,10.49
"152",16.5,0,0,1,0,0,0,0.332727272727273,4,25
"153",8.5,0,0,1,0,0,0,1.17529411764706,2,12.5
"154",38.5,0,0,1,0,0,0,0.654545454545455,1,25.2
"155",17.5,0,0,1,0,0,0,1.01142857142857,2,19.75
"156",46.5,0,0,1,0,0,0,0.681720430107527,2,35.25
"157",46.5,0,0,1,0,0,0,0.627956989247312,3,30.79
"158",72.5,0,0,1,0,0,0,0.747586206896552,2,56.25
"159",39.5,0,0,0,0,0,1,0.194683544303797,5,37.7
"160",27.5,0,0,1,1,0,0,1.05090909090909,0,NA
"161",49.95,0,0,0,0,0,0,0.11991991991992,7,36
"162",43.5,0,0,0,0,0,1,0.176781609195402,6,31.3
"163",39.5,0,0,0,0,0,0,0.546835443037975,3,30.11
"164",24.5,0,0,0,0,0,0,0.581224489795918,2,18.89
"165",59.5,0,0,0,0,0,1,0.129243697478992,8,53.26
"166",59.5,0,0,0,0,0,0,0.699159663865546,5,55.05
"167",69.5,0,0,0,0,0,0,0.526618705035971,4,49.11
"168",24.5,0,0,1,0,0,0,0.836326530612245,0,NA
"169",27.5,0,0,0,0,0,0,0.544727272727273,6,24.49
"170",175,0,0,0,0,0,1,0.0439428571428571,4,136.7
"171",11.5,0,0,1,0,0,0,0.520869565217391,2,11
"172",8.5,0,0,0,0,0,0,0.821176470588235,2,8
"173",10.5,0,0,1,0,0,0,0.57047619047619,2,9.26
"174",8.95,0,0,1,0,0,0,0.66927374301676,3,9.35
"175",7.95,1,0,1,0,0,0,0.753459119496855,2,9.26
"176",8.5,0,0,0,0,0,0,0.605882352941177,2,6.9
"177",16.5,0,0,1,0,0,0,0.210909090909091,12,14.59
"178",9.5,0,0,0,0,0,0,0.736842105263158,0,NA
"179",25,0,0,0,0,0,0,0.318,4,22.69
"180",17.5,0,0,0,0,0,0,0.454285714285714,5,17.45
"181",8.95,0,0,1,0,0,0,0.440223463687151,5,10.44
"182",9.5,0,0,1,0,0,0,0.414736842105263,4,11.5
"183",24.5,0,0,0,0,0,0,0.611836734693878,1,14.99
